cmd,nl
ps aux | tr -s '[:blank:]' | cut -d' ' -f3,print a column of cpu usage numbers
"find . -name modules -exec sh -c 'exit $(find {} -name modules|grep -n """"|tail -n1|cut -d: -f1)' \;",find a file/directory named modules under current directory and exit with the number of files/directories named 'modules'  found in this path
"find / -name ""*.md"" -type f -exec sh -c 'markdown ""$0"" > ""$0.html""' {} \;",convert all markdown files on the system to html
shopt -u nullglob,disables shell option 'nullglob'.
pstree $(pgrep -fn bash),prints process tree of a bash process.
"find ./ -name '*.log' | xargs -I{} sh -c ""if [ -f {}.gz ]; then rm {}; fi""",remove all *.log files from the current directory tree that have been gzipped
find . -type f -executable -print,search the current directory tree for executable files
tmux movew -r,renumbers all windows in the session in sequential order.
find . -daystart -ctime 0 -type f,find all the files that were modified yesterday in the current directory.
mkdir /tmp/googleTestMock,"make directory ""/tmp/googletestmock"""
find . -type f -ctime $FTIME,search the current directory tree for regular files that were changed $ftime days ago
echo `clear`,clears terminal screen.
"awk 'NR==FNR{m[$1]=$2"" ""$3; next} {print $0, m[$1]}' file2 file1 | column -t","join columns in ""file1"" and ""file2"" if their first field matches and format the output as a table"
"find ./ -type f -exec grep -Hn ""Text To Find"" {} \;",search for 'text to find' in all regular files under current directory tree and show the matched files and matched lines with line numbers
"find . -name ""*_test.rb"" | xargs rename s/_test/_spec/","recursively search for all files with names ending with ""_test.rb"", renaming them to end with ""_spec.rb""."
md5sum *.java | grep 0bee89b07a248e27c83fc3d5951213c1,find '.java' files with checksum 0bee89b07a248e27c83fc3d5951213c1 in the current directory
find ./ -mtime -3,find all the files in the current folder that have been modified in the last 24*3 hours
find . -mindepth 2 -maxdepth 2 -type d -printf '%M %u %g %p\n',list level 2 subdirectories of the current directory
find . -type f -name '*.php' -exec grep -Hcm2 '[^[:space:]]' {} + | sed -n '/:1$/{s///;p}',find all php files under current directory that contain only one non-blank line
sed -e '{:q;N;s/\n/ /g;t q}' file,"replace all newlines with spaces in the contents of ""file"""
find / -nouser -exec rm {} \;,remove files from the file system that are owned by nobody
alias current='cd $(cur -g)',"set alias ""current"" for command 'cd $(cur -g)'"
ifconfig eth0 down,brings down network interface eth0.
bind -r '\e',remove esc key bind
ls | xargs -i mv {} unix_{},"prefix all files and directories in the current directory with ""unix_"""
find -group compta,find all files/directories under current directory tree that belong to the group 'compta'
find /var/log/ -mmin +60,find files in the /var/log folder which were modified an hour or more ago
find . -type f -amin +10,display all the regular/normal files in the current folder that are not accessed in the last 10 minutes
"find /etc /srv \! -path ""./srv/tftp/pxelinux.cfg*"" -a \! -name /etc/mtab",display all the files in the folder /etc /srv excluding those that are present in the path of ./srv/tftp/pxelinux.cfg* and /etc/mtab
find ~/Desktop -name “*.jpg” -o -name “*.gif” -o -name “*.png” -print0 | xargs -0 mv –target-directory ~/Pictures,find image files and move them to the pictures directory
find / -name '<name_pattern>' | perl -pe 's/(.*\/).*$/$1/' | sort | uniq,find all files/directories in entire file system that match the pattern '<name_pattern>' in their names and print a sorted list of their unique parent directory paths
"find /var/www/vhosts/*/httpdocs/ -type f -iwholename ""*/modules/system/system.info"" -exec grep -H ""version = \"""" {} \;",identify cms version/releases accross all your drupal websites
find -name '*.undo' -exec wc -c {} + | tail -n 1,search all undo files(ending with .undo) in the current folder and calculate the total size of them
cat ips | xargs echo ping -c 2,"print ""echo ping -c 2"" on each string in file 'ips'"
chown :friends myfile,"change the group of ""myfile"" to ""friends"""
"ssh -x remoteServer ""cd yourRemoteDir; ./yourRemoteScript.sh </dev/null >/dev/null 2>&1 & ""","disable x11 forwarding and execute ""cd yourremotedir; ./yourremotescript.sh </dev/null >/dev/null 2>&1"" in the background on ""remoteserver"""
"find `pwd` -name ""*.log"" > sas_log_list.txt",save the list of .log files in the current directory tree to sas_log_list.txt
"find ./ -name ""*.php"" -type f | xargs sed -i 's#<?php /\*\*/ eval(base64_decode(""aWY.*?>##g'  2>&1","find all php files in current directory and delete text matching the regex '<?php /\*\*/ eval(base64_decode(""awy.*?>' in those files"
who | grep -e '^ab' -e '1$',"find users whose names begin with ""ab"" or whose terminal from which they are logged in ends with ""1"""
jobs -lp,list pid of a group leader
top -bn1 | grep zombie,display information about number of processes in various states.
find / -name file,"find the file with the name ""file"" in the entire file system"
echo $(basename $(readlink -nf $0)),print symlink resolved script file name
"sed -i ""15i `hostname`"" test.html","insert the current host name on line 15 of ""test.html"""
"find /home ! -group test -printf ""%p:%g\n""",display all the files along with their group name in the folder /home which do not belong to the group test
"find . -type f -printf ""%f\n"" -name ""*.jar"" | sort -f | uniq -i -d","find all duplicate "".jar"" files in the current directory tree"
reads=$(zcat $file.fastq),"store content of uncompressed file ""$file.fastq"" in variable ""reads"""
echo {1..9}: 10 | tr -d ' ',print 1 to 10 by separating them with colon (':')
"find ""$DIR"" -type f -exec grep ""$SEARCH"" {} \;",search for the regex expaned by the variable $search in all regular files under $dir directory tree
"find /path -type f -iname ""*.ext"" -printf ""%h\n""",list the directory paths of all *.ext (case insensitive) files under /path directory
sed '/pattern to match/d' ./infile,"remove the line matching ""pattern to match"" in ""./infile"" and print to standard output"
"find . -name ""*.[!r]*"" -exec grep -i -l ""search for me"" {} \;",search for case insensitive pattern 'search for me' in all files that match the name pattern '*.[!r]*' under current directory tree
find . -depth -empty -type d,list empty directories in the current directory tree
find -mindepth 3 -type d ! -path '*/p/*' -name c -print,"find all the directories  with the name ""c"" in the current folder which are at least 3 levels deep and which are not present in the path ""/p/""."
paste -sd+ filename | bc,"mathematically add each line in ""filename"""
"pstree -p 20238 | sed 's/(/\n(/g' | grep '(' | sed 's/(\(.*\)).*/\1/' | tr ""\n"" ,","prints all child processes of a process with id 20238, separated with comma."
grep -of ignore.txt input.txt | sort | uniq -c,"search ""input.txt"" for regex patterns only matching those listed in ""ignore.txt"", list the unique lines and prefix with the number of occurrences"
ls -d $PWD/*,prints full path to files in a current folder.
"find . | grep -v ""\.png$"" | grep -v ""\.class$"" | vim -","make a list of all files in the current directory tree, except *.png and *.class, and view it in the vim editor"
tmux list-sessions,lists tmux sessions.
find /some/directory -type f -exec file -N -i -- {} + | sed -n 's!: video/[^:]*$!!p',print the names of all files in /some/directory and its subdirectories recursively whose mime type is video
"cd ""~""","go to directory named ""~"" (not home directory)"
find . -name '*.pdf' -exec rm -f {} \;,recursively finds all '*.pdf' files in a current folder and removes them without prompting.
"find /your/path/ -type f -name ""*.html"" | xargs zip all_html_files.zip",search for all html files in a folder and create a zip file of all these files
dig @ns1.hosangit.com djzah.com +noall +authority +comments | awk -f script.awk,"request authority info with comments for 'djzah.com' from name server 'ns1.hosangit.com', and pass it to 'script.awk' awk script."
"unset `printenv |grep G4 |awk 'BEGIN{FS=""="";}{printf(""%s "",$1);}'`",unsets all environment variables with 'g4' in name.
wc `find | grep .php$`,"print line, word and byte counts for each .php files in current directory tree and also show the total counts"
zcat large_file.gz | largesplitter,"send uncompressed contents of ""large_file.gz"" to ""largesplitter"""
find / -atime 50,find all the files in entire file system  which are accessed 50 days back
find . -name foo_fn exec sed -i s/foo_fn/bar_fn/g '{}' \;,"replace all occurrences of ""foo_fn"" with ""bar_fn"" in the files named ""foo_fn"" from the current directory tree"
"find . -regex "".*/(test)[0-9][0-9]\.txt""",find all files/directories under current directory tree whose names start with '(test)' followed by two digits and end with '.txt' extension
"find . -maxdepth 1 -type f -iname '*[aeiouy]*' -printf "".\n"" | wc -l",count the number of regular files in the current directory that contain a vowel in their names
find . -name Root | xargs cp newRoot,find all files/directories named root under current directory and copy them to newroot
diff  --brief --recursive dir1/ dir2/,"print summary of new/missing files, and which files differ between dir1 and dir2."
ifconfig eth0 | grep HWaddr,gets string with mac addess of network interface eth0.
ping -c 25 google.com | tee >(split -d -b 100000 - /home/user/myLogFile.log),"print and save the ping results of 25 requests to ""google.com"" in ""/home/user/mylogfile.log"" containing at most 100000 bytes"
printf Aa | od -t x1,"print a hex dump byte to byte of the output of ""printf aa"""
find . -newer some_file,find all files in the current directory tree that are newer than some_file
myscript.rb `hostname -i` file.txt,"execute ""myscript.rb"" with the first argument as the current host name and the second ""file.txt"""
"ps | tail -n 4 | sed -E '2,$d;s/.* (.*)/\1/'",print the current shell
sed -i s/'dummyvalue'/$(hostname -I | head -n1 | awk '{print $1;}')/g filename,"replace ""dummyvalue"" with the system ip address in ""filename"""
find /etc -ctime -1,find all files in etc which have been changed in the last 25 hours
echo 'hi' | od -c,"dump the character output of ""echo 'hi'"""
find /usr/bin | xargs file,show file type information for files in /usr/bin
split -l 100 input_file output_file,"split ""input_file"" into files of at most 100 lines each with prefix ""output_file"""
"time find /usr/src -name ""*.html"" | xargs grep -l ""foo"" | wc -l","measure the execution time of the command: find /usr/src -name ""*.html"" | xargs grep -l ""foo"" | wc -l"
